uniqueTeamId,ABAB,ABCA,ABCB,ABCD,Total_Passes,High_pass_Ratio_Total,Low_pass_Ratio_Total,High_pass_Ratio_Zone2,Low_pass_Ratio_Zone2,High_pass_Ratio_Zone1,Low_pass_Ratio_Zone1,High_pass_Ratio_Zone3,Low_pass_Ratio_Zone3,Backward Pass_Zone_1 Ratio,Backward Pass_Zone_2 Ratio,Backward Pass_Zone_3 Ratio,Forward Pass_Zone_1 Ratio,Forward Pass_Zone_2 Ratio,Forward Pass_Zone_3 Ratio,Side Pass_Zone_1 Ratio,Side Pass_Zone_2 Ratio,Side Pass_Zone_3 Ratio,Backward Pass Ratio,Forward Pass Ratio,Side Pass Ratio,Total Shots,Far Shots Ratio,Middle Distance Shots Ratio,Near Shots Ratio,Connectivity
3165---2576231,0.05,0.10454545454545454,0.10909090909090909,0.7363636363636363,443,0.14221218961625282,0.8487584650112867,0.09821428571428571,0.8973214285714286,0.1532258064516129,0.8467741935483871,0.23157894736842105,0.7368421052631579,0.020316027088036117,0.05869074492099323,0.03611738148984198,0.11286681715575621,0.17155756207674944,0.045146726862302484,0.14672686230248308,0.27539503386004516,0.13318284424379231,0.11512415349887133,0.3295711060948081,0.5553047404063205,10.0,0.4,0.5,0.1,6.641025641025641
3165---2576242,0.036885245901639344,0.09836065573770492,0.10655737704918032,0.7581967213114754,247,0.242914979757085,0.7368421052631579,0.19327731092436976,0.7983193277310925,0.27586206896551724,0.7241379310344828,0.3170731707317073,0.5853658536585366,0.032388663967611336,0.07692307692307693,0.020242914979757085,0.1659919028340081,0.19433198380566802,0.032388663967611336,0.15384615384615385,0.21052631578947367,0.11336032388663968,0.12955465587044535,0.39271255060728744,0.4777327935222672,5.0,0.4,0.0,0.6,6.230769230769231
3165---2576255,0.042492917847025496,0.0821529745042493,0.08781869688385269,0.7875354107648725,356,0.22191011235955055,0.7640449438202247,0.24503311258278146,0.7483443708609272,0.21323529411764705,0.7867647058823529,0.18840579710144928,0.7536231884057971,0.03089887640449438,0.0702247191011236,0.0449438202247191,0.14325842696629212,0.16853932584269662,0.05056179775280899,0.20786516853932585,0.1853932584269663,0.09831460674157304,0.14606741573033707,0.36235955056179775,0.49157303370786515,9.0,0.2222222222222222,0.3333333333333333,0.4444444444444444,5.961538461538462
3165---2576262,0.02727272727272727,0.07727272727272727,0.07727272727272727,0.8181818181818182,223,0.18834080717488788,0.8071748878923767,0.13829787234042554,0.851063829787234,0.27358490566037735,0.7264150943396226,0.0,1.0,0.04484304932735426,0.09417040358744394,0.02242152466367713,0.22869955156950672,0.16591928251121077,0.026905829596412557,0.20179372197309417,0.16143497757847533,0.053811659192825115,0.16143497757847533,0.42152466367713004,0.4170403587443946,4.0,0.0,0.25,0.75,5.717948717948718
3165---2576277,0.030120481927710843,0.10542168674698796,0.10542168674698796,0.7590361445783133,335,0.19402985074626866,0.7910447761194029,0.14743589743589744,0.8461538461538461,0.24369747899159663,0.7563025210084033,0.21666666666666667,0.7166666666666667,0.041791044776119404,0.0626865671641791,0.04477611940298507,0.17313432835820897,0.1582089552238806,0.023880597014925373,0.14029850746268657,0.24477611940298508,0.11044776119402985,0.14925373134328357,0.35522388059701493,0.4955223880597015,6.0,0.16666666666666666,0.5,0.3333333333333333,7.423076923076923
3165---2576282,0.031914893617021274,0.07092198581560284,0.07801418439716312,0.8191489361702128,285,0.28421052631578947,0.712280701754386,0.24793388429752067,0.7520661157024794,0.35555555555555557,0.6444444444444445,0.25675675675675674,0.7297297297297297,0.010526315789473684,0.06315789473684211,0.06315789473684211,0.1824561403508772,0.20350877192982456,0.0456140350877193,0.12280701754385964,0.15789473684210525,0.15087719298245614,0.1368421052631579,0.43157894736842106,0.43157894736842106,5.0,0.4,0.4,0.2,6.615384615384615
3165---2576294,0.05128205128205128,0.08974358974358974,0.08461538461538462,0.7743589743589744,393,0.22391857506361323,0.7709923664122137,0.125,0.875,0.3162393162393162,0.6837606837606838,0.29,0.69,0.027989821882951654,0.05343511450381679,0.0737913486005089,0.1475826972010178,0.1450381679389313,0.03816793893129771,0.12213740458015267,0.24936386768447838,0.14249363867684478,0.15521628498727735,0.33078880407124683,0.5139949109414759,12.0,0.16666666666666666,0.5,0.3333333333333333,9.241758241758241
3165---2576300,0.0196078431372549,0.10049019607843138,0.09803921568627451,0.7818627450980392,411,0.19951338199513383,0.7883211678832117,0.09045226130653267,0.9045226130653267,0.28846153846153844,0.7115384615384616,0.3148148148148148,0.6481481481481481,0.024330900243309004,0.058394160583941604,0.029197080291970802,0.12895377128953772,0.18004866180048662,0.0681265206812652,0.09975669099756691,0.24574209245742093,0.1654501216545012,0.11192214111922141,0.3771289537712895,0.5109489051094891,11.0,0.09090909090909091,0.2727272727272727,0.6363636363636364,8.142857142857142
3165---2576312,0.038338658146964855,0.08626198083067092,0.08306709265175719,0.792332268370607,316,0.25316455696202533,0.7436708860759493,0.14166666666666666,0.8583333333333333,0.29591836734693877,0.7040816326530612,0.3469387755102041,0.6428571428571429,0.022151898734177215,0.056962025316455694,0.0759493670886076,0.16139240506329114,0.16139240506329114,0.0759493670886076,0.12658227848101267,0.16139240506329114,0.15822784810126583,0.1550632911392405,0.3987341772151899,0.4462025316455696,10.0,0.2,0.3,0.5,6.989010989010989
3165---2576320,0.05901639344262295,0.10163934426229508,0.11475409836065574,0.7245901639344262,308,0.18181818181818182,0.7987012987012987,0.12582781456953643,0.8543046357615894,0.25316455696202533,0.7468354430379747,0.21794871794871795,0.7435897435897436,0.032467532467532464,0.05194805194805195,0.03896103896103896,0.12987012987012986,0.20454545454545456,0.07142857142857142,0.09415584415584416,0.23376623376623376,0.14285714285714285,0.12337662337662338,0.40584415584415584,0.4707792207792208,12.0,0.4166666666666667,0.5,0.08333333333333333,5.725274725274725
