uniqueTeamId,Air duel_Zone_1,Air duel_Zone_2,Air duel_Zone_3,Foul_Zone_1,Foul_Zone_2,Foul_Zone_3,Ground attacking duel_Zone_1,Ground attacking duel_Zone_2,Ground attacking duel_Zone_3,Ground defending duel_Zone_1,Ground defending duel_Zone_2,Ground defending duel_Zone_3,Ground loose ball duel_Zone_1,Ground loose ball duel_Zone_2,Ground loose ball duel_Zone_3,Touch_Zone_1,Touch_Zone_2,Touch_Zone_3,Acceleration,Air duel,Clearance,Foul,Goalkeeper leaving line,Ground attacking duel,Ground defending duel,Ground loose ball duel,Hand foul,Late card foul,Out of game foul,Protest,Simulation,Time lost foul,Touch,Violent Foul,Zone_1_Run,Zone_2_Run,Zone_3_Run,Backward Run,Forward Run,Side Run,Short Run,Middle Run,Long Run,average_acceleration_length,Forward_Runs_Zone_3
2455---2517016,6,10,7,0,3,3,15,33,14,16,14,16,8,15,6,10,6,0,0,23,6,6,0,62,46,29,0,0,0,0,0,0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2455---2517019,4,8,2,0,0,2,3,17,16,13,11,11,6,7,11,12,7,7,1,14,3,2,0,36,35,24,0,0,0,0,0,0,26,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,17.708754896942935,0.0
2455---2517034,11,18,4,3,2,3,11,17,16,24,18,3,10,14,11,19,7,12,3,33,10,8,0,44,45,35,0,0,1,0,0,0,38,0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,29.4132629521003,0.0
2455---2517041,2,9,3,1,5,1,6,10,15,28,15,9,12,10,5,12,14,12,7,14,7,7,1,31,52,27,0,0,0,0,0,0,38,0,1.0,4.0,2.0,0.0,7.0,0.0,1.0,4.0,2.0,30.90365963267241,2.0
2457---2516741,3,14,5,1,3,1,4,10,15,9,24,5,2,8,2,11,10,6,3,22,6,5,0,29,38,12,0,0,0,0,0,0,27,0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,31.068058068304953,0.0
2457---2516748,2,14,5,1,1,2,6,13,27,9,12,11,5,6,10,12,23,11,2,21,10,4,0,46,32,21,0,0,0,0,0,0,46,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,38.62929942507503,0.0
2457---2516758,1,16,6,1,3,2,9,9,14,18,16,4,5,9,10,7,14,12,2,23,6,6,1,32,38,24,0,0,0,0,0,0,33,0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,22.00078070422925,0.0
2457---2516769,2,2,3,1,10,1,3,9,20,5,23,6,10,9,9,3,5,2,3,7,4,12,2,32,34,28,0,0,0,0,0,0,10,0,0.0,1.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,20.540439331917007,2.0
2457---2516776,5,22,7,0,3,1,10,23,16,18,20,2,4,17,5,6,9,2,5,34,6,4,0,49,40,26,1,0,0,0,0,0,17,0,4.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,2.0,25.939399974669044,0.0
2457---2516790,6,20,12,2,5,5,10,17,30,20,19,7,3,16,7,6,9,7,4,38,7,12,0,57,46,26,1,0,0,0,0,0,22,2,0.0,2.0,2.0,0.0,4.0,0.0,2.0,2.0,0.0,22.90347182100568,2.0
2457---2516794,3,13,2,2,5,2,7,24,11,19,24,5,4,9,7,6,13,3,5,18,10,9,1,42,48,20,0,0,0,0,0,0,22,0,2.0,3.0,0.0,0.0,5.0,0.0,3.0,1.0,1.0,25.168463496695335,0.0
2457---2516805,4,16,1,0,2,2,6,29,12,17,22,4,2,8,6,11,9,7,3,21,5,4,1,47,43,16,0,0,0,0,0,0,27,1,1.0,2.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,23.424042337861067,0.0
2457---2516813,4,11,4,3,6,1,5,10,10,13,14,3,9,7,2,5,9,3,0,19,5,10,0,25,30,18,1,0,0,0,0,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2457---2516822,12,13,4,3,4,1,4,23,19,12,10,5,3,19,10,11,8,4,8,29,10,8,2,46,27,32,0,0,0,0,0,0,23,0,3.0,5.0,0.0,0.0,7.0,1.0,2.0,4.0,2.0,26.886334178476893,0.0
2457---2516837,6,16,4,2,8,0,6,12,19,18,29,4,4,14,5,5,9,1,0,26,5,10,0,37,51,23,0,0,0,0,0,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2457---2516840,0,5,6,0,4,6,4,18,15,11,20,10,5,8,6,2,15,6,6,11,7,10,0,37,41,19,2,0,0,0,0,0,23,0,0.0,6.0,0.0,0.0,6.0,0.0,2.0,3.0,1.0,25.582649904754124,0.0
2457---2516849,8,14,1,1,4,2,3,19,19,12,12,3,6,7,3,10,8,6,3,23,9,7,0,41,27,16,0,0,0,0,0,0,24,0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,30.152982890088463,0.0
2457---2516858,5,13,7,2,2,3,9,21,18,13,30,6,7,19,9,4,16,7,2,25,4,7,2,48,49,35,0,0,0,0,0,0,27,0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,35.709642256355465,0.0
2457---2516870,3,17,7,0,4,2,9,16,9,18,17,4,9,15,6,11,9,9,1,27,13,6,2,34,39,30,1,0,0,0,0,0,29,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9.507891459203773,0.0
2457---2516876,8,11,3,0,0,2,3,19,9,20,15,7,9,9,4,7,11,9,3,22,11,2,0,31,42,22,0,0,0,0,1,0,27,0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,34.698574798406405,0.0
2457---2516884,5,8,0,1,4,1,11,12,8,16,11,3,3,5,4,7,7,2,8,13,11,6,0,31,30,12,0,0,0,0,0,0,16,0,2.0,6.0,0.0,0.0,8.0,0.0,2.0,2.0,4.0,31.07749318871617,0.0
2457---2516900,7,18,5,3,3,1,5,17,29,24,15,8,3,12,6,9,13,10,8,30,9,7,0,51,47,21,2,0,0,0,0,0,32,0,2.0,6.0,0.0,0.0,7.0,1.0,2.0,3.0,3.0,30.345129017568006,0.0
2457---2516903,5,17,10,0,6,0,8,14,11,23,14,8,7,12,4,11,9,3,0,32,8,6,0,33,45,23,0,0,0,0,0,0,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2457---2516914,8,35,6,0,8,4,8,23,15,21,23,3,5,24,8,7,9,6,2,49,10,12,0,46,47,37,0,0,0,0,0,0,22,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,33.11008105487122,0.0
2457---2516920,7,12,5,2,4,3,9,13,22,16,16,7,5,8,8,10,2,9,5,24,7,9,1,44,39,21,1,0,0,0,0,0,21,0,1.0,2.0,2.0,0.0,5.0,0.0,3.0,0.0,2.0,24.442597523849894,2.0
2457---2516934,4,15,5,0,8,1,4,12,9,14,34,12,9,14,7,10,15,2,2,24,10,9,0,25,60,30,1,0,0,0,0,0,27,0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,26.74558353424399,0.0
2457---2516938,5,15,9,3,4,2,4,14,13,23,21,9,9,9,6,4,17,6,6,29,5,9,0,31,53,24,1,0,0,0,0,0,27,0,1.0,5.0,0.0,0.0,6.0,0.0,1.0,5.0,0.0,25.32784464584584,0.0
2457---2516946,10,11,4,1,4,1,0,14,7,25,16,7,3,10,3,9,5,2,8,25,6,6,2,21,48,16,2,0,0,0,0,0,16,0,1.0,7.0,0.0,0.0,7.0,1.0,2.0,5.0,1.0,27.297369977714496,0.0
2457---2516959,2,12,7,1,3,2,3,19,7,18,18,1,3,10,3,1,5,1,6,21,6,6,0,29,37,16,1,0,0,0,0,0,7,0,0.0,5.0,1.0,0.0,4.0,2.0,4.0,2.0,0.0,19.75654159174175,0.0
2457---2516967,8,22,3,0,3,1,0,17,18,7,18,6,4,16,3,9,18,10,6,33,7,4,0,35,31,23,0,0,0,0,0,0,37,0,1.0,4.0,1.0,0.0,6.0,0.0,1.0,2.0,3.0,31.47994796689406,1.0
2457---2516980,15,11,5,4,1,3,5,16,28,29,21,13,13,11,8,9,16,7,2,31,11,8,1,49,63,32,0,0,0,1,0,0,32,0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,40.50938403016172,0.0
