,ABAB,ABCA,ABCB,ABCD,Total_Passes,High_pass_Ratio_Total,Low_pass_Ratio_Total,Smart_pass_Ratio_Total,High_pass_Ratio_Zone2,Low_pass_Ratio_Zone2,High_pass_Ratio_Zone3,Low_pass_Ratio_Zone3,High_pass_Ratio_Zone1,Low_pass_Ratio_Zone1,Backward Pass_Zone_1 Ratio,Backward Pass_Zone_2 Ratio,Backward Pass_Zone_3 Ratio,Forward Pass_Zone_1 Ratio,Forward Pass_Zone_2 Ratio,Forward Pass_Zone_3 Ratio,Side Pass_Zone_1 Ratio,Side Pass_Zone_2 Ratio,Side Pass_Zone_3 Ratio,Backward Pass Ratio,Forward Pass Ratio,Side Pass Ratio,Short Ratio,Middle Ratio,Long Ratio,average_pass_length,Total Shots,Far Shots Ratio,Middle Distance Shots Ratio Ratio,Near Shots Ratio,Connectivity
3767---2500880,0.038356164383561646,0.08767123287671233,0.09041095890410959,0.7835616438356164,368,0.0625,0.9130434782608695,0.024456521739130436,0.027624309392265192,0.9558011049723757,0.1590909090909091,0.7045454545454546,0.07692307692307693,0.9230769230769231,0.04891304347826087,0.09782608695652174,0.021739130434782608,0.14402173913043478,0.14402173913043478,0.021739130434782608,0.1956521739130435,0.25,0.07608695652173914,0.16847826086956522,0.30978260869565216,0.5217391304347826,0.41304347826086957,0.35597826086956524,0.23097826086956522,19.65357435754533,5.0,0.2,0.0005434782608695652,0.6,6.756410256410256
3767---2500894,0.05,0.07777777777777778,0.08333333333333333,0.7888888888888889,363,0.05785123966942149,0.9146005509641874,0.027548209366391185,0.03827751196172249,0.9521531100478469,0.1276595744680851,0.7872340425531915,0.016666666666666666,0.9833333333333333,0.0027548209366391185,0.09090909090909091,0.07162534435261708,0.07162534435261708,0.19559228650137742,0.06060606060606061,0.09090909090909091,0.2892561983471074,0.12672176308539945,0.1652892561983471,0.3278236914600551,0.5068870523415978,0.4380165289256198,0.3278236914600551,0.23415977961432508,22.79714875244613,13.0,0.3076923076923077,0.0006357279084551812,0.46153846153846156,8.32967032967033
3767---2500898,0.03367003367003367,0.07407407407407407,0.08080808080808081,0.8114478114478114,300,0.10333333333333333,0.8966666666666666,0.0,0.06802721088435375,0.9319727891156463,0.17073170731707318,0.8292682926829268,0.125,0.875,0.05333333333333334,0.07,0.006666666666666667,0.14,0.15333333333333332,0.04,0.18,0.26666666666666666,0.09,0.13,0.3333333333333333,0.5366666666666666,0.44333333333333336,0.30666666666666664,0.25,20.195100588368465,6.0,0.5,0.0005555555555555556,0.3333333333333333,5.846153846153846
3767---2500913,0.020905923344947737,0.0627177700348432,0.06620209059233449,0.8501742160278746,290,0.08275862068965517,0.8931034482758621,0.02413793103448276,0.07142857142857142,0.8928571428571429,0.2727272727272727,0.6818181818181818,0.06,0.94,0.020689655172413793,0.1206896551724138,0.041379310344827586,0.12758620689655173,0.15172413793103448,0.013793103448275862,0.19655172413793104,0.30689655172413793,0.020689655172413793,0.18275862068965518,0.29310344827586204,0.5241379310344828,0.2482758620689655,0.3448275862068966,0.4068965517241379,25.957277686276576,3.0,0.0,0.0011494252873563218,0.6666666666666666,8.296703296703297
3767---2500918,0.036011080332409975,0.0886426592797784,0.0997229916897507,0.775623268698061,364,0.046703296703296704,0.9313186813186813,0.02197802197802198,0.03980099502487562,0.9502487562189055,0.09722222222222222,0.8194444444444444,0.02197802197802198,0.978021978021978,0.008241758241758242,0.06043956043956044,0.03571428571428571,0.10714285714285714,0.1510989010989011,0.054945054945054944,0.1346153846153846,0.34065934065934067,0.10714285714285714,0.1043956043956044,0.3131868131868132,0.5824175824175825,0.32967032967032966,0.38461538461538464,0.2857142857142857,21.559440843896045,9.0,0.3333333333333333,0.0009157509157509158,0.3333333333333333,6.8076923076923075
3767---2500935,0.032362459546925564,0.08737864077669903,0.09061488673139159,0.7896440129449838,312,0.05128205128205128,0.9262820512820513,0.022435897435897436,0.06015037593984962,0.9323308270676691,0.07407407407407407,0.8641975308641975,0.02040816326530612,0.9693877551020408,0.04807692307692308,0.041666666666666664,0.035256410256410256,0.11858974358974358,0.11538461538461539,0.060897435897435896,0.14743589743589744,0.2692307692307692,0.16346153846153846,0.125,0.2948717948717949,0.5801282051282052,0.41346153846153844,0.3301282051282051,0.2564102564102564,19.5137880643246,5.0,0.2,0.001282051282051282,0.4,7.263736263736264
3767---2500944,0.025974025974025976,0.09415584415584416,0.09740259740259741,0.7824675324675324,311,0.09003215434083602,0.8810289389067524,0.028938906752411574,0.10071942446043165,0.8848920863309353,0.136986301369863,0.7808219178082192,0.04040404040404041,0.9494949494949495,0.012861736334405145,0.06109324758842444,0.08681672025723473,0.12861736334405144,0.1607717041800643,0.04823151125401929,0.17684887459807075,0.22508038585209003,0.09967845659163987,0.1607717041800643,0.33762057877813506,0.5016077170418006,0.33762057877813506,0.3536977491961415,0.3086816720257235,24.74162207232055,8.0,0.375,0.0012057877813504824,0.25,7.285714285714286
3767---2500952,0.03571428571428571,0.07589285714285714,0.08035714285714286,0.8080357142857143,227,0.09251101321585903,0.8898678414096917,0.01762114537444934,0.020833333333333332,0.96875,0.125,0.78125,0.15151515151515152,0.8484848484848485,0.03524229074889868,0.09691629955947137,0.05726872246696035,0.17180616740088106,0.15418502202643172,0.022026431718061675,0.2290748898678414,0.17180616740088106,0.06167400881057269,0.1894273127753304,0.34801762114537443,0.46255506607929514,0.43612334801762115,0.28193832599118945,0.28193832599118945,22.377413478033134,3.0,0.0,0.004405286343612335,0.0,5.351648351648351
3767---2500965,0.03763440860215054,0.09408602150537634,0.0967741935483871,0.771505376344086,375,0.056,0.92,0.024,0.03664921465968586,0.9528795811518325,0.09195402298850575,0.8390804597701149,0.061855670103092786,0.9278350515463918,0.021333333333333333,0.048,0.029333333333333333,0.112,0.13333333333333333,0.056,0.12533333333333332,0.328,0.14666666666666667,0.09866666666666667,0.30133333333333334,0.6,0.42933333333333334,0.30666666666666664,0.264,19.491616363795387,6.0,0.16666666666666666,0.0017777777777777776,0.16666666666666666,9.217948717948717
3767---2500972,0.033003300330033,0.0627062706270627,0.0627062706270627,0.8415841584158416,306,0.042483660130718956,0.9379084967320261,0.0196078431372549,0.0472972972972973,0.9256756756756757,0.0851063829787234,0.8723404255319149,0.018018018018018018,0.9819819819819819,0.03594771241830065,0.0784313725490196,0.032679738562091505,0.1437908496732026,0.17973856209150327,0.029411764705882353,0.1830065359477124,0.22549019607843138,0.0915032679738562,0.14705882352941177,0.35294117647058826,0.5,0.3300653594771242,0.37254901960784315,0.2973856209150327,22.11178686512843,3.0,0.0,0.0032679738562091504,0.0,6.681318681318682
