uniqueTeamId,Air duel_Zone_1,Air duel_Zone_2,Air duel_Zone_3,Foul_Zone_1,Foul_Zone_2,Foul_Zone_3,Ground attacking duel_Zone_1,Ground attacking duel_Zone_2,Ground attacking duel_Zone_3,Ground defending duel_Zone_1,Ground defending duel_Zone_2,Ground defending duel_Zone_3,Ground loose ball duel_Zone_1,Ground loose ball duel_Zone_2,Ground loose ball duel_Zone_3,Touch_Zone_1,Touch_Zone_2,Touch_Zone_3,Acceleration,Air duel,Clearance,Foul,Goalkeeper leaving line,Ground attacking duel,Ground defending duel,Ground loose ball duel,Hand foul,Late card foul,Out of game foul,Protest,Simulation,Time lost foul,Touch,Violent Foul,Zone_1_Run,Zone_2_Run,Zone_3_Run,Backward Run,Forward Run,Side Run,Short Run,Middle Run,Long Run,average_acceleration_length,Forward_Runs_Zone_3
691---2565910,15,12,9,1,6,4,13,33,41,37,26,13,8,10,14,24,19,18,8,36,10,11,1,87,76,32,2,0,0,0,0,0,61,0,4.0,3.0,1.0,0.0,8.0,0.0,4.0,3.0,1.0,21.112080161165036,1.0
691---2565919,7,26,6,1,8,2,6,17,23,37,25,4,5,17,1,24,15,5,10,39,24,11,2,46,66,23,0,0,0,0,0,0,44,0,3.0,5.0,2.0,0.0,10.0,0.0,5.0,2.0,3.0,24.447495015862458,2.0
692---2565549,9,16,8,3,3,5,14,23,24,31,17,8,10,19,10,14,21,13,5,33,10,11,2,61,56,39,1,1,0,0,0,0,48,0,0.0,5.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,22.647169423254674,0.0
692---2565566,6,26,9,1,4,3,14,25,32,27,31,16,5,13,7,10,3,5,5,41,4,8,2,71,74,25,1,0,0,1,0,0,18,0,0.0,5.0,0.0,0.0,5.0,0.0,3.0,1.0,1.0,21.40119507997035,0.0
692---2565573,21,17,19,1,8,6,10,25,32,23,24,14,11,6,6,9,7,11,13,57,3,15,1,67,61,23,1,0,0,1,1,0,27,0,3.0,9.0,1.0,3.0,10.0,0.0,6.0,2.0,5.0,30.4971682682723,0.0
692---2565585,6,21,8,4,7,3,11,37,37,32,33,11,15,20,10,16,11,5,1,35,8,14,0,85,76,45,1,0,1,1,0,0,32,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.045639892863552,0.0
692---2565588,9,24,14,1,6,1,14,38,43,23,18,5,16,37,15,24,21,11,8,47,14,8,1,95,46,68,1,0,0,1,1,0,56,0,1.0,6.0,1.0,1.0,6.0,1.0,4.0,3.0,1.0,23.965708947223902,0.0
692---2565606,16,16,11,2,3,0,14,30,23,33,32,8,22,24,10,19,9,6,3,43,10,5,1,67,73,56,0,0,1,0,0,0,34,0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,50.6493000711896,1.0
692---2565612,13,20,12,1,4,2,9,29,28,29,27,8,8,8,5,15,23,5,7,45,7,7,0,66,64,21,1,0,0,0,1,0,43,0,0.0,6.0,1.0,0.0,6.0,1.0,4.0,2.0,1.0,22.409268516394544,1.0
692---2565627,20,13,2,4,6,2,18,18,18,39,24,3,9,12,4,20,11,13,5,35,13,12,2,54,66,25,0,0,0,0,0,0,44,0,0.0,4.0,1.0,0.0,4.0,1.0,3.0,1.0,1.0,24.506365467841682,0.0
692---2565637,11,27,12,1,8,3,7,29,44,27,29,11,5,15,10,13,16,8,4,50,5,12,0,80,67,30,1,0,0,0,0,0,37,0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,28.1787421915605,0.0
692---2565640,15,22,7,4,4,0,14,26,29,37,23,8,11,23,10,23,28,12,3,44,15,8,0,69,68,44,4,0,0,1,0,0,63,0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,32.98078390776734,0.0
692---2565650,23,31,7,5,8,0,21,39,22,38,30,6,14,28,4,18,16,7,3,61,17,13,4,82,74,46,0,0,0,1,0,1,41,0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,19.50231615156962,1.0
692---2565661,15,21,13,4,5,5,17,36,29,52,22,9,22,15,16,23,17,10,0,49,7,14,0,82,83,53,2,0,1,0,0,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692---2565676,14,21,5,3,6,2,10,29,36,32,19,5,12,12,10,17,13,9,12,40,15,11,1,75,56,34,2,0,0,0,0,0,39,0,3.0,9.0,0.0,0.0,10.0,2.0,4.0,3.0,5.0,31.05863282959054,0.0
692---2565681,7,13,7,3,6,2,16,33,19,51,32,12,7,15,5,27,16,12,3,27,19,11,3,68,95,27,1,0,0,0,0,2,55,0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,34.28504319958699,0.0
692---2565694,15,11,7,1,6,4,11,41,41,27,32,10,8,18,15,22,7,8,7,33,19,11,0,93,69,41,1,0,2,0,0,0,37,0,1.0,6.0,0.0,0.0,5.0,2.0,2.0,1.0,4.0,30.07304414171913,0.0
692---2565699,2,20,12,1,4,6,18,39,43,20,22,12,6,13,12,13,18,7,15,34,9,11,2,100,54,31,0,0,0,0,0,0,38,0,1.0,11.0,3.0,0.0,11.0,4.0,5.0,7.0,3.0,24.82315064140601,3.0
692---2565709,14,21,1,1,7,7,12,37,27,53,28,11,11,18,8,21,22,7,10,36,21,15,2,76,92,37,2,0,0,1,0,0,50,0,2.0,6.0,2.0,0.0,9.0,1.0,6.0,3.0,1.0,20.872671539335194,2.0
692---2565723,8,13,9,1,4,5,20,39,43,48,27,9,5,19,13,14,11,6,4,30,11,10,0,102,84,37,0,0,0,1,0,0,31,0,2.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0,1.0,22.392442959785043,1.0
692---2565731,24,18,4,4,3,0,16,36,23,40,19,7,12,18,10,17,4,1,6,46,20,7,2,75,66,40,0,0,0,0,0,2,22,0,2.0,4.0,0.0,0.0,4.0,2.0,4.0,2.0,0.0,15.099232032774887,0.0
692---2565742,13,17,7,3,3,1,11,39,20,58,34,6,18,20,12,29,17,14,10,37,21,7,4,70,98,50,0,0,0,0,0,0,60,0,3.0,6.0,1.0,0.0,7.0,3.0,4.0,1.0,5.0,28.710122019014353,0.0
692---2565750,3,21,10,4,7,3,14,25,30,23,20,5,7,14,11,18,17,13,2,34,9,14,2,69,48,32,1,0,0,0,0,0,48,0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,15.816727029814093,0.0
692---2565758,12,15,8,2,6,1,13,31,35,31,25,5,6,15,9,34,35,16,8,35,5,9,1,79,61,30,1,0,0,1,1,0,85,0,0.0,7.0,1.0,0.0,5.0,3.0,4.0,3.0,1.0,25.058007655398576,0.0
692---2565773,4,19,7,0,6,2,11,32,27,11,17,6,7,14,6,20,17,14,5,30,5,8,2,70,34,27,0,0,0,0,1,0,51,0,0.0,3.0,2.0,0.0,5.0,0.0,2.0,1.0,2.0,29.676477874753516,2.0
692---2565778,14,21,10,1,7,5,14,33,26,30,31,15,14,14,14,25,21,11,6,45,12,13,1,73,76,42,1,0,0,0,0,0,57,1,1.0,5.0,0.0,0.0,5.0,1.0,2.0,2.0,2.0,28.265580507496555,0.0
692---2565797,20,18,8,5,5,0,14,31,27,45,31,3,26,27,7,16,4,4,13,46,24,10,1,72,79,60,1,0,0,0,0,0,24,0,5.0,8.0,0.0,0.0,13.0,0.0,4.0,4.0,5.0,29.833933910583937,0.0
692---2565803,16,18,15,2,6,2,11,35,26,46,48,10,14,26,6,21,13,10,16,49,8,10,2,72,104,46,0,0,0,0,0,0,44,0,6.0,7.0,3.0,0.0,16.0,0.0,10.0,2.0,4.0,24.17452623634454,3.0
692---2565813,13,20,9,5,6,3,8,36,39,37,21,11,8,16,13,21,15,8,5,42,12,14,4,83,69,37,0,0,0,0,0,0,44,0,2.0,3.0,0.0,0.0,5.0,0.0,2.0,0.0,3.0,33.60903767199963,0.0
692---2565824,10,8,5,2,3,4,8,33,20,35,20,8,14,18,7,23,11,10,10,23,13,9,2,61,63,39,1,0,0,0,0,0,44,0,2.0,4.0,4.0,0.0,10.0,0.0,5.0,2.0,3.0,25.22338918197574,4.0
692---2565834,14,27,11,2,9,5,13,37,33,39,33,15,14,19,9,14,11,6,19,52,15,16,4,83,87,42,1,0,1,0,0,0,31,0,6.0,12.0,1.0,0.0,19.0,0.0,6.0,7.0,6.0,28.588728485154775,1.0
692---2565842,13,26,9,0,8,2,11,31,30,32,27,9,19,25,10,19,26,7,5,48,9,10,2,72,68,54,0,0,0,0,0,0,52,0,0.0,5.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,29.006304415030087,0.0
